  radius  	  theta   
0.2943539	1.8154042
0.2945151	1.8285815
0.2947807	1.8266790
0.2947048	1.8268885
0.2947238	1.8269583
0.2948945	1.8265743
0.2947238	1.8269583
0.6680524	4.9162085
0.6689363	4.9221426
0.2945626	1.8149330
0.2934343	1.8280579
0.2932069	1.8111631
0.6129208	5.5576170
0.3618962	2.8124934
0.7138199	1.4620623
0.6460628	0.5070181
0.3359932	1.9983322
0.7138199	0.7930776
0.7143337	3.8714893
0.7459881	4.7088983
0.4942308	5.3040731
0.6473004	0.2738422
0.4929285	5.3003031
0.3613831	1.7746159
0.3649786	1.7908649
0.4921694	5.3120667
0.3646820	1.7512634
0.3620344	1.7501813
0.3650775	1.7505827
0.4987995	5.3037414
0.3617285	1.7508270
0.3603574	1.7506874
0.4576141	2.5621957
0.1847163	1.8435215
0.1734131	1.8818140
0.1718763	1.8738378
0.1794149	1.8949214
0.1719392	1.8767875
0.3986157	3.7254053
0.9316345	3.5316737
0.9281196	3.5308011
0.1733861	1.7975146
0.1781541	1.8870500
0.1773979	1.8922685
0.1761650	1.8908024
0.1526375	1.9724489
0.4098241	6.1624783
0.2166462	4.5547857
0.3510770	5.0797633
0.2122738	4.5659559
0.6702002	1.3800318
0.1999014	3.6222563
0.1991845	3.6212091
0.2146188	4.5748570
0.6689363	1.4011503
0.2143632	4.5785222
0.6981287	0.9145525
0.3849658	4.9922525
0.3930035	4.9833339
0.3849658	4.9853759
0.3854669	4.9829674
0.3873224	3.4791393
0.5155198	4.2596506
0.4580469	0.8503244
0.3884870	3.4730307
0.3903060	3.4723325
0.4033463	3.4906585
0.5249004	0.0838980
0.3901451	3.4732052
0.3889290	3.4721580
0.5202122	4.2629667
0.3884970	3.4679692
0.3855671	3.4629078
0.7948661	5.3247727
0.3855671	3.4629078
0.5284676	0.0863240
0.4020380	3.4632568
0.1218988	5.1473774
0.1202165	5.1428570
0.6130409	5.3654737
0.5118360	1.3245304
0.4730182	1.3133603
0.3473564	4.7854746
0.3534313	4.7680109
0.3530386	4.7744180
0.5073290	1.3267993
0.3530386	4.7794184
0.6364938	1.7769197
0.4671898	4.5818384
0.3354689	1.5084881
0.3343042	1.5084881
0.6432216	5.2430214
0.3350806	1.5088371
0.3331404	1.5121533
0.3329465	1.5151203
0.4724416	4.5753806
0.4779293	4.5690974
0.3335283	1.5224507
0.4743324	4.5807912
0.4696053	4.5823620
0.3302344	1.5104079
0.3315899	1.5090117
0.4696053	4.5823620
0.4743324	4.5807912
0.3350806	1.5234979
0.3331404	1.5095353
0.3315899	1.5090117
0.3327527	1.5095353
0.4807624	4.5813148
0.4748028	4.5879470
0.3305248	1.5063937
0.3299441	1.5102334
0.3321712	1.5097098
0.9487158	5.9978065
0.6597667	2.7223820
0.2677995	4.6062730
0.9692366	0.0000175
0.9741569	0.0003840
0.9751779	0.0012741
0.4738621	4.6347218
0.2465954	1.7122640
0.3754172	2.6618365
0.3770410	2.6530924
0.3737454	2.6462682
0.3717973	2.6497763
0.3718867	2.6467395
0.3740836	2.6619064
0.3722543	2.6549425
0.9535359	2.8389526
0.6998175	2.9156772
0.6089303	2.9589614
0.6046082	2.9507758
0.6139057	2.9514390
0.3961299	0.2490585
0.8559992	0.5733407
0.6566399	2.9283483
0.4928634	2.2074575
0.5821424	4.5127233
0.2719751	1.4828317
0.2483086	1.4938273
0.2691655	1.4753268
0.2731939	1.4826572
0.2513682	1.4917329
0.2704762	1.4892895
0.2504406	1.4943509
0.2702889	1.4835299
0.2507188	1.4948745
0.5819204	4.5053929
0.2517393	1.4920820
0.2520178	1.4920820
0.2507188	1.4952236
0.2512754	1.4927801
0.2521106	1.4908602
0.2529460	1.4559537
0.2511826	1.4926056
0.2551756	1.4543829
0.8720022	1.8877132
0.4486838	4.4139377
0.5511191	6.1110609
0.9260750	3.9751619
0.5974214	1.2892747
0.2322382	4.4690901
0.2326613	4.4544293
0.5969479	1.2852605
