  radius  	  theta   
0.7538347	3.8465628
0.7572666	3.8512630
0.7560280	3.8517701
0.7562767	3.8515399
0.7562646	3.8516008
0.7559557	3.8516120
0.7562646	3.8516008
0.5642693	0.4568043
0.5617031	0.4641203
0.7519099	3.8502809
0.7566171	3.8544127
0.7511395	3.8511335
0.7516107	3.8388719
0.5676019	0.4423317
0.9127655	3.0642650
0.2816239	2.9064687
0.5225609	5.5471841
0.1670954	3.9722568
0.1901740	1.2482244
0.5012420	2.9142139
0.8068663	3.5671798
0.2746272	4.1298717
0.8034405	3.5592887
0.8172293	3.5923503
0.8206764	3.6001175
0.8111579	3.5782517
0.8070229	3.5817919
0.8105195	3.5777585
0.8098418	3.5763582
0.8105340	3.5729190
0.8106334	3.5785150
0.8090059	3.5822420
0.5073630	0.3070792
0.6908267	5.1321252
0.7060406	5.1399356
0.7083671	5.1355343
0.6970742	5.1408945
0.7081983	5.1357159
0.8150485	5.5152180
0.6980352	5.1285035
0.6996639	5.1288379
0.7077958	5.1065426
0.6989283	5.1347869
0.6997616	5.1295523
0.7016137	5.1313424
0.7352390	5.0856990
0.4200755	3.1204366
0.9948846	2.9727086
0.5176597	1.4493035
0.9937802	2.9811249
0.9785989	2.9597192
0.7949022	1.4618535
0.7958004	1.4615601
0.9886926	2.9787846
0.9903675	2.9759441
0.9870727	2.9787662
0.2849424	3.1187902
0.8178575	3.1955915
0.8208820	3.1971677
0.8184288	3.1895235
0.8100174	3.1755480
0.7706946	5.3431558
0.5227741	2.1710554
0.7632170	5.3245444
0.7691511	5.3381894
0.7624189	5.3459185
0.7529023	5.3646421
0.5122322	2.1746974
0.7673185	5.3394195
0.7646769	5.3437433
0.5182510	2.1746870
0.7649423	5.3396108
0.7617187	5.3428134
0.1149403	2.2910754
0.7617187	5.3428134
0.5102501	2.1740698
0.7542433	5.3366311
0.9916884	0.4687211
0.9909961	0.4675518
0.5293598	1.0065018
0.8538282	3.0099820
0.8610459	3.0076868
0.8603064	3.0223193
0.8663166	3.0179891
0.8628472	3.0190251
0.8617082	3.0071507
0.8668032	3.0298523
0.4090509	3.8433989
0.9612772	6.1856900
0.9622768	6.1699799
0.9611788	6.1682376
0.3679074	1.0957518
0.9614820	6.1691582
0.9591154	6.1687984
0.9586829	6.1711212
0.9576414	6.1817781
0.9547399	6.1773031
0.9627201	6.1841862
0.9599991	6.1849531
0.9632196	6.1842709
0.9644319	6.1739128
0.9636537	6.1716801
0.9632196	6.1842709
0.9599991	6.1849531
0.9632723	6.1862881
0.9671659	6.1773553
0.9636537	6.1716801
0.9668220	6.1768144
0.9599667	6.1847964
0.9628358	6.1896469
0.9650591	6.1708296
0.9647870	6.1741828
0.9662623	6.1761136
0.2777213	4.3393861
0.3228546	0.5159477
0.5792275	1.5728635
0.5768405	1.5888897
0.5778312	1.5862742
0.5779372	1.5865549
0.6425098	2.6807324
0.6052136	4.9313341
0.9450009	1.0262369
0.9466131	1.0198102
0.9459706	1.0114680
0.9537460	1.0240478
0.9479823	1.0139848
0.9452310	1.0262804
0.9489613	1.0234670
0.5222893	4.4428904
0.2451015	0.5708530
0.4941369	4.9359671
0.4927923	4.9364447
0.4904128	4.9261082
0.5223402	2.6539824
0.7663151	2.1861931
0.4744922	4.8606234
0.3672465	5.7892810
0.9453013	6.1154830
0.9468842	6.1021249
0.9476752	6.1044452
0.9476777	6.0949422
0.9474386	6.1034306
0.9512664	6.1108489
0.9424904	6.0999627
0.9493719	6.1093213
0.9459997	6.1005356
0.9511250	6.1134361
0.9431740	6.1094603
0.9533386	6.1154242
0.9532077	6.1152797
0.9509220	6.1133841
0.9523466	6.1139842
0.9538222	6.1152985
0.9590584	6.0908969
0.9516259	6.1123518
0.9592279	6.0904222
0.4936175	3.5639638
0.8268695	2.6720854
0.6959645	4.3040698
0.5101047	5.6017326
0.9882661	2.8664240
0.9887575	2.8752623
0.9924784	2.8682851
0.9879365	2.8626002
0.9888422	2.8775091
0.9897208	2.8741705
0.9895770	2.8768200
0.9873784	2.8660179
0.9929174	2.8763913
0.9985871	6.0351878
0.9621007	5.4292886
0.9577787	5.4221164
0.9637072	5.4238699
0.9610876	5.4232663
0.3299303	3.8150932
0.3315058	3.8313694
0.9619292	5.4222028
0.6157764	3.8405695
0.2652513	0.7440156
0.3334280	3.8293676
0.3304890	3.8170339
0.6161230	3.8428697
0.6161230	3.8428697
0.6154810	3.8452455
0.3304890	3.8170339
0.9635654	5.4237173
0.9649901	5.4232523
0.9649901	5.4232523
0.9626000	5.4243250
0.8588356	4.0991765
0.8571399	4.0951437
0.8621278	4.1050743
0.8614025	4.1049389
0.8611692	4.1049313
0.8619384	4.0959764
0.8632061	4.0966279
0.8621871	4.0998642
0.8618064	4.1037638
0.8597879	4.1045881
0.3278580	5.8515148
0.9865901	3.3165744
0.7213499	1.7217218
0.7318368	0.7603801
0.6082519	3.8086199
0.7451156	2.8086862
0.8633294	3.6572181
0.7009182	0.5112982
0.7025851	0.5120253
0.7037472	0.4982902
0.7065067	0.5013675
0.7037961	0.5166593
0.7060849	0.5008418
0.4110215	4.9040861
0.9244434	1.6061321
0.9235335	1.6057673
0.9162293	1.6317592
0.8012869	5.4064146
0.2939385	5.7189201
0.1480913	1.1937870
0.7145242	2.5446725
0.7265991	2.5295288
0.7184177	2.5361653
0.7233305	2.5626147
0.7175989	2.5351265
0.7177733	2.5349882
0.7174615	2.5352997
0.7174615	2.5352997
0.7176731	2.5352725
0.7233341	2.5625727
0.7185010	2.5338525
0.7233227	2.5625004
0.7232725	2.5626216
0.7237317	2.5562685
0.7237317	2.5562685
0.7178679	2.5358649
0.7127951	2.5428197
0.3868039	1.0123021
0.5030252	3.9140755
0.4991635	3.9076212
0.4926736	3.8943879
0.5033206	3.9092614
0.5013082	3.9181269
0.4999889	3.9169328
0.4902242	3.8898253
0.4523478	3.3700391
0.7497398	6.1318067
0.4491362	3.3626054
0.4527952	3.3623895
0.4505459	3.3791382
0.7511354	6.1384757
0.8483436	5.7489410
0.8418975	5.7487996
0.8416057	5.7486821
0.8466819	5.7321737
0.8397268	5.7523996
0.8474175	5.7227153
0.8433534	5.7348421
0.8469281	5.7301959
0.8474047	5.7278926
0.8990276	2.8635398
0.8896336	2.8580677
0.8913551	2.8569352
0.8913551	2.8569352
0.8899600	2.8586900
0.8874066	2.8479857
0.8943089	2.8526595
0.8897199	2.8587305
0.8894437	2.8522879
0.8907966	2.8572432
0.8911827	2.8543070
0.0620908	0.2739484
0.8920907	2.8532678
0.7361441	5.9137221
0.7313188	5.9277273
0.4164731	2.9495922
0.6620439	3.4485175
0.8852099	0.9122294
0.8959898	3.1382528
0.7095673	2.5994951
0.8953738	3.1353730
0.8922487	3.1293204
0.3847200	5.0207704
0.9786986	4.8097583
0.9798065	4.8092866
0.9795224	4.8091292
0.9747018	4.8030114
0.9736372	4.8021445
0.9669681	4.7996441
0.9834308	4.8194269
0.9760274	4.8039357
0.1692255	3.8056505
0.8890195	3.3054115
0.7432544	2.8351999
0.7401076	2.8252025
0.7549962	2.8486491
0.7649492	2.8730985
0.8472028	5.1258902
0.3880029	5.7622607
0.8723595	2.2058413
0.8849717	2.1983341
0.8737895	2.1928482
0.8720511	2.2059707
0.8727614	2.2069992
0.8740296	2.1975456
0.8731010	2.2082865
0.8697648	2.1979747
0.8728075	2.2083981
0.3094055	2.2641789
0.1539229	5.6070369
0.6047516	5.8964353
0.5989721	5.9024048
0.5989359	5.9041143
0.6022872	5.9108285
0.5831753	3.6704795
0.8463569	2.4391819
0.8433682	2.4345307
0.8396438	2.4293184
0.8421435	2.4296629
0.8424848	2.4287800
0.8443675	2.4364696
0.8469394	2.4357674
0.8446406	2.4320963
0.8408668	2.4311382
0.8396438	2.4293184
0.8414505	2.4315973
0.8438364	2.4473916
0.8299211	2.4337443
0.8241908	2.4305062
0.8371112	2.4271797
0.3161090	2.4680423
0.3715312	2.4586003
0.6729561	5.6667944
0.6778702	5.6982945
0.8807974	3.5711386
0.1009818	1.4063618
0.8868278	3.5883296
0.8819628	3.5706087
0.8884757	3.5869451
0.8843334	3.5815431
0.5149703	0.7806285
0.5326426	3.0826017
0.5329870	3.0858227
0.5333264	3.0790556
0.5373199	3.0989789
0.5339958	3.0844755
0.5346937	3.1015988
0.5332026	3.0924283
0.5320699	3.0936065
0.5324517	3.1278962
0.5377009	3.1194025
0.5359099	3.1011016
0.5370025	3.0976665
0.5369287	3.0983796
0.5329870	3.0858402
0.5372102	3.0973436
0.5334094	3.0908084
0.0632139	0.2665157
0.7496782	1.4602086
0.7514885	1.4580959
0.7480555	1.4589923
0.7479753	1.4661985
0.7498373	1.4614280
0.7478094	1.4645254
0.3675242	5.7984194
0.2753535	2.5213725
0.5719162	3.7793759
0.5764595	3.7643815
0.5769097	3.7642654
0.6981084	5.6841065
0.5781400	3.7632590
0.6154465	2.1554199
0.6146010	2.1380398
0.6203117	2.1569409
0.6173563	2.1624407
0.7208160	5.7070749
0.9554711	2.3672930
0.9465842	2.3602717
0.9500883	2.3586782
0.9504115	2.3695167
0.9534358	2.3678281
0.9492159	2.3549466
0.9515215	2.3678818
0.9511204	2.3690204
0.9479691	2.3630868
0.9503252	2.3704362
0.9448902	2.3749944
0.2373825	2.6356253
0.9494285	2.3731961
0.9569887	2.3954939
0.5319098	4.3972634
0.6221953	1.0729805
0.6269411	1.1103480
0.6214416	1.0630043
0.6176061	1.0944330
0.6144939	1.0851602
0.8845976	4.8472615
0.8727633	4.8779862
0.8730877	4.8766628
0.8743939	4.8803951
0.8711265	4.8772657
0.8713782	4.8765392
0.8717839	4.8809545
0.5983203	5.8399183
0.5857516	5.8368874
0.9389896	3.6551993
0.3571797	2.9386980
0.1182875	1.9329127
0.1177701	1.9079592
0.9276539	3.6581677
0.9343068	3.6743858
0.5937278	5.8404739
0.7549976	0.1038871
0.9382126	3.6716777
0.9355484	3.6574747
0.9375696	3.6629594
0.9372752	3.6570034
0.9294026	3.6550216
